"if she knew what she wants";"j. shear";"U-Best Super Hits 40 DVD Collection Pack";11
"hardon my heart";"taylor dayne";"U-Best Super Hits 40 DVD Collection Pack";11
"if not for you";"olivia newton-john";"U-Best Super Hits 40 DVD Collection Pack";11
"heart of stone";"taylor dayne";"U-Best Super Hits 40 DVD Collection Pack";11
"candle in the wind";"Elton John";"U-Best Super Hits 40 DVD Collection Pack";11
"I'm easy";"faith no more";"U-Best Super Hits 40 DVD Collection Pack";11
"winter world of love";"engelbert humperdinck";"U-Best Super Hits 40 DVD Collection Pack";11
"never my love";"the association";"U-Best Super Hits 40 DVD Collection Pack";11
"nights in white satin";"the moody blues";"U-Best Super Hits 40 DVD Collection Pack";11
"Devember 1963 (oh what a night)";"the four seasons";"U-Best Super Hits 40 DVD Collection Pack";11
"words";"the bee gees";"U-Best Super Hits 40 DVD Collection Pack";11
"crazy";"patsy cline";"U-Best Super Hits 40 DVD Collection Pack";11
"different drum";"linda ronstadt";"U-Best Super Hits 40 DVD Collection Pack";11
"I fall to pieces";"patsy cline";"U-Best Super Hits 40 DVD Collection Pack";11
"you're no good";"linda ronstadt";"U-Best Super Hits 40 DVD Collection Pack";11
"runaway";"del shannon";"U-Best Super Hits 40 DVD Collection Pack";11
"rainy days and mondays";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";11
"only yesterday";"the carpenters";"U-Best Super Hits 40 DVD Collection Pack";11
"u can't touch this";"m.c. Hammer";"U-Best Super Hits 40 DVD Collection Pack";12
"how can we be lovers";"micheal bolton";"U-Best Super Hits 40 DVD Collection Pack";12
"every little kiss";"bruce hornsby";"U-Best Super Hits 40 DVD Collection Pack";12
"the same love";"diane warren";"U-Best Super Hits 40 DVD Collection Pack";12
"walk like an egyptian";"the bangles";"U-Best Super Hits 40 DVD Collection Pack";12
"in your room";"the bangles";"U-Best Super Hits 40 DVD Collection Pack";12
"true";"gary kemp";"U-Best Super Hits 40 DVD Collection Pack";12
"saving all my love for you";"Whitney Housten";"U-Best Super Hits 40 DVD Collection Pack";12
"caught up in the rapture";"anita baker";"U-Best Super Hits 40 DVD Collection Pack";12
"seasons change";"expose";"U-Best Super Hits 40 DVD Collection Pack";12
"just because";"anita baker";"U-Best Super Hits 40 DVD Collection Pack";12
"don't rush me";"taylor dayne";"U-Best Super Hits 40 DVD Collection Pack";12
"I'll be your shelter";"taylor dayne";"U-Best Super Hits 40 DVD Collection Pack";12
"sweet love";"anita baker";"U-Best Super Hits 40 DVD Collection Pack";12
"it never rains in southern california";"america";"U-Best Super Hits 40 DVD Collection Pack";12
"garden party";"ricky nelson";"U-Best Super Hits 40 DVD Collection Pack";12
